#,Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Vinc. Org.,Vinc. Prog.,Vinc. Eco.,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
D92950000,D,929,50000,FONDO DE CONTINGENCIA,D,929,500,200000,0,200000,0
D93112000,D,931,12000,SUELDOS DEL GRUPO A1,0,9,1,58000,0,58000,31599.12
D93112004,D,931,12004,SUELDOS DEL GRUPO C2,0,9,1,24000,0,24000,10505.66
D93112006,D,931,12006,TRIENIOS,0,9,1,13000,0,13000,14955.84
D93112100,D,931,12100,COMPLEMENTO DE DESTINO,0,9,1,69000,0,69000,35170.4
D93112101,D,931,12101,COMPLEMENTO ESPECÍFICO,0,9,1,167000,0,167000,102192.9
D93113000,D,931,13000,RETRIBUCIONES BÁSICAS,0,9,1,152000,0,152000,165610.74
D93113002,D,931,13002,OTRAS REMUNERACIONES,0,9,1,54000,0,54000,53204.29
D93115000,D,931,15000,PRODUCTIVIDAD,0,9,1,43000,0,43000,44284.32
D93116000,D,931,16000,SEGURIDAD SOCIAL,0,9,1,151000,0,151000,144791.34
D93116200,D,931,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,9,1,1000,0,1000,1381.89
D93116204,D,931,16204,ACCIÓN SOCIAL,0,9,1,1000,0,1000,2601.22
D93116205,D,931,16205,SEGUROS,0,9,1,300,0,300,243.04
D93116209,D,931,16209,OTROS GASTOS SOCIALES,0,9,1,180,0,180,134.96
D93122661,D,931,22661,GASTOS DIVERSOS,D,931,226,0,31283.85,31283.85,21080.31
D93122690,D,931,22690,GASTOS DIVERSOS,D,931,226,5520,0,5520,111.77
D93122698,D,931,22698,GASTOS RECONOCIMIENTO JUDICIAL DE CREDITOS,D,931,226,100000,35988.72,135988.72,328954.59
D93122699,D,931,22699,GASTOS RECONOCIMIENTO EXTRAJUDICIAL DE CRÉDITOS,D,931,226,200000,0,200000,0
D93122780,D,931,22780,CONTRATOS SERVICIO COLABORACION BANCARIA,D,931,227,0,20000,20000,0
D93122781,D,931,22781,T.R.O.E.P. CONVENIO COLABORACION RECAUDACION EJECUTIVA,D,931,227,0,20000,20000,0
D93212000,D,932,12000,SUELDOS DEL GRUPO A1,0,9,1,14000,0,14000,28427.13
D93212001,D,932,12001,SUELDOS DEL GRUPO A2,0,9,1,27000,0,27000,13564.33
D93212004,D,932,12004,SUELDOS DEL GRUPO C2,0,9,1,41000,0,41000,19275.81
D93212006,D,932,12006,TRIENIOS,0,9,1,11000,0,11000,7531.9
D93212100,D,932,12100,COMPLEMENTO DE DESTINO,0,9,1,59000,0,59000,26585.52
D93212101,D,932,12101,COMPLEMENTO ESPECÍFICO,0,9,1,89000,0,89000,29319.47
D93213000,D,932,13000,RETRIBUCIONES BÁSICAS,0,9,1,86000,0,86000,122175.35
D93213002,D,932,13002,OTRAS REMUNERACIONES,0,9,1,28000,0,28000,38019.6
D93215000,D,932,15000,PRODUCTIVIDAD,0,9,1,27000,0,27000,32944.7
D93215300,D,932,15300,COMPLEMENTO DEDICACION ESPECIAL,0,9,1,12000,0,12000,0
D93216000,D,932,16000,SEGURIDAD SOCIAL,0,9,1,120000,0,120000,109514.93
D93216200,D,932,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,9,1,1000,0,1000,2553.89
D93216204,D,932,16204,ACCIÓN SOCIAL,0,9,1,6000,0,6000,594.19
D93216205,D,932,16205,SEGUROS,0,9,1,1300,0,1300,1053.14
D93216209,D,932,16209,OTROS GASTOS SOCIALES,0,9,1,600,0,600,449.41
D93222652,D,932,22652,FOMENTO DEL TURISMO,D,932,226,15000,-14990,10,0
D93222752,D,932,22752,PROGRAMAS DE PROMOCION TURISTICA,D,932,227,15100,0,15100,4235
#,,,,,,,,41559000,4451133.94,46010133.94,40962222.34
